Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part
1,-118.47847599999994,37.05771880000003,-121.02033825743236,42.55305601436678, Southern California - Campo,,,, This Paths of the trail is the most southern; here you go through dessert You are in the very southern part and in summer this can be very hot,216 km,Part 1
2,-121.02033825743236,42.55305601436678,-120.9082730499793,46.04730289090036, Southern California - Anza-Borrego Desert,,-116.697429,33.770965,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment You will walk through Jacinto Wildernes   You need to cross Mission Creek several times, 216 km,Part 2
3,-120.9082730499793,46.04730289090036,-121.55045112555952,44.57576910508343, Southern California - Mount Baden Powell ,,-117.7646,34.3584,On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting You walk on the egde of Big Bear City,216 km,Part 3
4,-121.55045112555952,44.57576910508343,-120.97792882667662,39.80781559752048, Southern California - Sierra Pelona Mountains,,,,You go in Angeles National forests On this part of the route you walk in a mixture of hilly terrain and valleys of sand You are both  on the egde of moutains and have some of the trail in the city of Lancaster, 216 km,Part 4
5,-120.97792882667662,39.80781559752048,-121.70168856881943,42.689756381250746, Sierra Nevada & Northern California - Kennedy Meadows, Double Mountain,-118.291222,35.01597, This part of the trail is hilly and you will need to cross several small creeks  You will both walk in hilly terran and forretes, 216 km,Part 5
6,-121.70168856881943,42.689756381250746,-121.31744553870794,42.141877762988415, Sierra Nevada & Northern California - Forester Pass ,,,, You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince  You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way  You are walking in an area with many mountains. Some of the ones you can see on the trip are: Mount Withney; Mount Langley; Kern Peak; Cirque Peak, 216 km,Part 6
7,-121.31744553870794,42.141877762988415,-119.39904141212348,42.261499326402685, Sierra Nevada & Northern California - Sonora Pass,,,, You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada  You are walking in an area with many mountains and you encounter many altitude differences at the same time there are many larger and smaller lakes,216 km,Part 7
8,-119.39904141212348,42.261499326402685,-121.6728243485082,41.2595248508765, Sierra Nevada & Northern California - Donner Memorial State Park,,,, You walk in both Ansel Adams Wildernes and the great Yosemite National Park. It was first protected in 1864.Yosemite National Park is best known for its waterfalls but you can find deep valleys and grand meadows as well  As the trail moves northward; it traverses the lush forests of Northern California; with a mix of steep inclines and dense woodland  During this par of the trail You'll cross the border between California and Oregon,216 km,Part 8
9,-121.6728243485082,41.2595248508765,-120.5226684984278,39.03072402307232, Oregon - Ashland,,,,It is a varied terrain with both forest and desert  and you will pass by a lot of large and small lakes  You will walk in Donner Memorial State Park some of the parth. The very large Lake Tahoe is close by  the closest towns to the trail are Tahoe Pines; Homewood and Rubicon Bay,216 km,Part 9
10,-120.5226684984278,39.03072402307232,-118.61247951369822,35.95739742174823, Oregon - Cowhorn Mountain, Love Falls;  North Fork Feather River bridge,-120.6071599; -121.2814,39.5807332; 39.426, You walk on the egde opf Sierra city. You need to cross North Yuba River and Haypress Creek. When Crossing North Yba Falls You walk very close to Love Falls  This is a hilly stretch where you also have to cross the Middle Fork Feather River  If You do the hole trail you are in this segment in the middel or half to reach your desination. You need to cross North Fork Feather River and Yellow Creek,216 km,Part 10
