Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,Description_new,imagesPath
1,-118.478476,37.0577188,-120.5812901,42.04745979, Southern California - Campo,,,, This Paths of the trail is the most southern; here you go through dessert,107.2 km,Part 1,This southernmost trail section crosses desert terrain. Stay hydrated as temperatures are high during day and very cold at night. You'll walk beside Sheephead Mountain and Wooden Hill; through Sawtooth Mountains wilderness with its characteristic peaks., Images/Segment1.jpg
2,-120.5812901,42.04745979,-121.0203383,42.55305601, Southern California - Mount Laguna,,,,You are in the very southern part and in summer this can be very hot,107.2 km,Part 2,Located in the extreme southern part with hot summers. Traverses Anza-Borrego Desert State Park (237;120 ha); featuring amazing spring blooms. Named after explorer Juan Bautista de Anza and the Spanish word for sheep; the park was established in 1932., Images/Segment2.jpg
3,-121.0203383,42.55305601,-121.1910008,42.37309226, Southern California - Anza-Borrego Desert,,,,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment,107.2 km,Part 3,Traverse rugged desert terrain with occasional oases and challenging climbs. Pass Warner Springs; a small community with natural springs in northern San Diego County. Trail runs beside Combs Peak; featuring typical San Diego County chaparral with manzanita; scrub oak; buckthorn; red shanks and chamise. Recent fires have made the approach easier., Images/Segment3.jpg
4,-121.1910008,42.37309226,-120.908273,46.04730289, Southern California - Suicide Rock,,-116.697429,33.770965,You will walk through Jacinto Wildernes   You need to cross Mission Creek several times,107.2 km,Part 4,Walk through Jacinto Wilderness near Suicide Rock; which offers mountain views without major climbing. Requires free hiking permit. Pass Sand to Snow National Monument with iconic red mountains and snow-capped peaks behind. Climb Onyx Peak; a mountain pass in the San Bernardino Mountains., Images/Segment4.jpg
5,-120.908273,46.04730289,-117.7516927,34.12845803, Southern California - Mount Baden Powell ,,-117.7646,34.3584,On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting,107.2 km,Part 5,View Big Bear Lake; the jewel of San Bernardino National Forest; known for fishing; skiing; hiking and mountain biking. Cross San Bernardino National Forest; covering 3;333.87 km_ divided into northern and southern portions. This area was a filming location for Daniel Boone (1936) and Paint Your Wagon (1969)., Images/Segment6.jpg
6,-117.7516927,34.12845803,-121.5504511,44.57576911, Southern California - Vasquez Rocks,,,,You walk on the egde of Big Bear City,107.2 km,Part 6,Cross Interstate 15 with approximately 1;436 meters elevation gain. Pass Table Mountain and Mount San Antonio. Nearby Vasquez Rock features striking jagged formations created by rapid erosion over millions of years; making it a popular filming location., Images/Segment7.jpg
7,-121.5504511,44.57576911,-120.9071109,39.35874634, Southern California - Sierra Pelona Mountains,,,,You go in Angeles National forests,107.2 km,Part 7,"Traverse Angeles National Forest; an urban wilderness offering solitude and recreation near populated areas. Climb Mount Baden-Powell; named after the founder of Scouts who established first groups in 1907 based on his book ""Aids for Scouting."" This classic San Gabriel Mountains hike is a must for peak-baggers.", Images/Segment8.jpg
8,-120.9071109,39.35874634,-120.9779288,39.8078156, Southern California - Tehachapi Mountains,,,,On this part of the route you walk in a mixture of hilly terrain and valleys of sand You are both  on the egde of moutains and have some of the trail in the city of Lancaster,107.2 km,Part 8,Experience mixture of hilly terrain and sand valleys. Pass through Agua Dulce; a charming rural community (59 km_) known for rolling hills and country lifestyle. Trail runs through Lancaster city and Tehachapi Mountains. Visit Walker's Pass and Burnt Peak (1;781m) with expansive views of surrounding landscapes., Images/Segment9.jpg
9,-120.9779288,39.8078156,-120.3586733,45.08212134, Sierra Nevada & Northern California - Kennedy Meadows, Double Mountain,-118.291222,35.01597, This part of the trail is hilly and you will need to cross several small creeks,107.2 km,Part 9,Navigate hilly terrain with several small creek crossings. View Double Mountain with its two similar-elevation summits south of Tehachapi. Near Mojave city; which began as a railroad construction camp in 1876 and served as western terminus for Death Valley's twenty-mule team route (1884-1889)., Images/Segment11.jpg
10,-120.3586733,45.08212134,-121.7016886,42.68975638, Sierra Nevada & Northern California - Sequoia National Park,,,, You will both walk in hilly terran and forretes,107.2 km,Part 10,Hike through varied terrain ascending Welden Peak for expansive views. Wind between Piute Peak and Sorrell Peak showcasing diverse vegetation and geological features. Skirt Pinyon Mountain where alpine landscapes blend with dense pinyon pine forests in this moderately challenging section., Images/Segment12.jpg
11,-121.7016886,42.68975638,-118.1548683,35.14989535, Sierra Nevada & Northern California - Forester Pass ,,,, You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince,107.2 km,Part 11,Ascend Weldon Peak and continue between Piute Peak and Sorrell Peak. Skirt Pinyon Mountain to Sawtooth Peak. Cross three wilderness areas: Owens Peak; Kiavah; and Domeland; each offering unique landscapes from rugged mountains to intricate rock formations and forested areas. These protected regions provide pristine environments and biodiversity., Images/Segment13.jpg
12,-118.1548683,35.14989535,-121.3174455,42.14187776,Sierra Nevada & Northern California - Kings Canyon National Park,,,, You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way  You are walking in an area with many mountains. Some of the ones you can see on the trip are: Mount Withney; Mount Langley; Kern Peak; Cirque Peak,107.2 km,Part 12,Experience South Sierra Wilderness surrounded by dramatic peaks including Rockhouse Peak; Ball Mountain; Bald Mountain and Olancha Peak. The trail carves through breathtaking landscapes dominated by Sierra Nevada's highest peaks; including Mount Stanford; Mount Williamson; iconic Mount Whitney; Mount Langley; and Cirque Peak; before culminating near Muah Mountain., Images/Segment14.jpg
13,-121.3174455,42.14187776,-120.0047009,40.98451283, Sierra Nevada & Northern California - Sonora Pass,,,, You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada,107.2 km,Part 13,Travel through Inyo National Forest; extending 265 kilometers near California-Nevada border and covering 809;371 hectares on Sierra Nevada's eastern slope. Pass between Mount Clarence King; Acrodectes Peak; Mount Goddard and Mount Darwin; a flat-topped 4;218-meter mountain in Kings Canyon National Park., Images/Segment16.jpg
14,-120.0047009,40.98451283,-119.3990414,42.26149933, Sierra Nevada & Northern California - Lake Tahoe,,,, You are walking in an area with many mountains and you encounter many altitude differences at the same time there are many larger and smaller lakes,107.2 km,Part 14,Navigate Sierra Nevada's dramatic altitude changes around peaks like Bloody Mountain; Red Slate Mountain; Mount Morgan; Bear Creek Spire; and Seven Gables. Encounter various lakes near Silver Peak and Mammoth Lakes offering serene vistas and tranquil surroundings., Images/Segment17.jpg
15,-119.3990414,42.26149933,-119.0765253,37.09358935, Sierra Nevada & Northern California - Donner Memorial State Park,,,, You walk in both Ansel Adams Wildernes and the great Yosemite National Park. It was first protected in 1864.Yosemite National Park is best known for its waterfalls but you can find deep valleys and grand meadows as well,107.2 km,Part 15,Traverse Ansel Adams Wilderness and Yosemite National Park. Begin in wilderness named after the famed photographer with pristine alpine scenery featuring Mount Ritter and Mount Lyell. Enter Yosemite; known for biodiversity; waterfalls; valleys; meadows and sequoias. Key landmarks include Mount Dana and Clouds Rest., Images/Segment18.jpg
16,-119.0765253,37.09358935,-121.6728243,41.25952485, Sierra Nevada & Northern California - Feather River,,,, As the trail moves northward; it traverses the lush forests of Northern California; with a mix of steep inclines and dense woodland  During this par of the trail You'll cross the border between California and Oregon,107.2 km,Part 16,Cross Yosemite Wilderness into Hoover Wilderness through dense forests with steep inclines. Continue through Carson-Iceberg Wilderness with Highland Peak; Whitecliff Peak; Sonora Peak and Leavitt Peak. Features rocky landscapes; glacial remnants; dense conifer forests and waterways. Peaks offer challenging hikes with breathtaking summit views., Images/Segment19.jpg
17,-121.6728243,41.25952485,-117.2147623,33.88942411, Oregon - Ashland,,,,It is a varied terrain with both forest and desert  and you will pass by a lot of large and small lakes,107.2 km,Part 17,The trail around Lake Tahoe traverses majestic landscapes in Lake Tahoe Basin Management Unit. Ascend Ralston Peak and Pyramid Peak for sweeping views of the lake and dense forests. Area renowned for stunning natural beauty with towering peaks and lush valleys., Images/Segment21.jpg
18,-117.2147623,33.88942411,-120.5226685,39.03072402, Oregon - Crater Lake National Park,,,, You will walk in Donner Memorial State Park some of the parth. The very large Lake Tahoe is close by  the closest towns to the trail are Tahoe Pines; Homewood and Rubicon Bay,107.2 km,Part 18,Navigate rugged terrain near Lake Tahoe with views of forests and mountains. Notable peaks include Granite Chief and Tinker Knob along the Tahoe Rim Trail. Nearby towns Truckee and Tahoe City offer amenities; historical charm; and services for resupply and relaxation., Images/Segment22.jpg
19,-120.5226685,39.03072402,-118.8112043,35.36068351, Oregon - Cowhorn Mountain, Love Falls,-120.6071599,39.5807332, You walk on the egde opf Sierra city. You need to cross North Yuba River and Haypress Creek. When Crossing North Yba Falls You walk very close to Love Falls,107.2 km,Part 19,Cross North Yuba River and Haypress Creek with their beautiful natural water features. Pass near scenic North Yuba Falls and Love Falls; popular for picturesque views and soothing cascading water sounds. Proximity to Sierra City provides civilization before returning to secluded Tahoe National Forest paths., Images/Segment23.jpg
20,-118.8112043,35.36068351,-118.6124795,35.95739742, Oregon - Willamette National Forest, North Fork Feather River bridge,-121.2814,39.426, This is a hilly stretch where you also have to cross the Middle Fork Feather River  If You do the hole trail you are in this segment in the middel or half to reach your desination. You need to cross North Fork Feather River and Yellow Creek,107.2 km,Part 20,Travel through Plumas National Forest's rugged terrain; mountainous vistas and remote wilderness. The midpoint of the complete PCT journey features Bucks Lake Wilderness; Bald Eagle Mountain; Ben Lomond and Snow Mountain. Trail crosses Highway 70 multiple times providing access points., Images/Segment24.jpg
21,-118.6124795,35.95739742,-117.0334928,34.41036697, Oregon - Mount Washington Wilderness,,,,You will here walk in Lassen Volcanic National Park. You walk between different Mountans and Peaks. This is a parth with various elevation,107.2 km,Part 21,Navigate diverse volcanic landscapes in Lassen Volcanic National Park. View Lassen Peak; one of the world's largest plug dome volcanoes. Pass Brokeoff Mountain and Mount Harkness through mixed forests; mountain streams and meadows with diverse ecosystems and wildlife., Images/Segment26.jpg
22,-117.0334928,34.41036697,-121.5109129,40.78390028,Oregon - Mount Jefferson Wilderness, McArthur-Burney Falls Memorial State Park,-121.39299,41.0148, You will cross Pit River and come close to Burney Falls; which is 25 meter and defenitly a visit worth. Here You can find campsites and Rental Cabins,107.2 km,Part 22,Experience varied landscapes including rolling hills; dense forests and expansive meadows. Cross Pit River with stunning views and unique wildlife habitat. Pass near Burney Mountain for dramatic vistas and challenging hiking. Nearby Burney allows convenient resupply before continuing through less traveled paths., Images/Segment27.jpg
23,-121.5109129,40.78390028,-118.1873901,35.9816611, Oregon - Timberline Lodge (Mount Hood),,,, You'll walk in Shasta-Trinity National Forrest and Lassen National Forrest. If the water level is high You need to cross several small creeks and streams,107.2 km,Part 23,Traverse rugged mountainous terrain featuring Grizzly Peak; Brushy Butte and Tamarack Mountain with stunning panoramic views. Experience steep climbs and descents through varied elevations. Dense forests with occasional clearings provide scenic vistas and wildlife observation opportunities., Images/Segment28.jpg
24,-118.1873901,35.9816611,-121.1902964,40.3041705, Oregon - Bridge of the Gods (Columbia River Gorge),,,, You'll walk through Castle Crags Wilderness and Castle Crags State Park. You will cross Burstarse Creek; Indidan Creek and Popcorn Spring during the trail  You will be able to see several peaks on this parth including: Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak and Mount Eddy,107.2 km,Part 24,Explore Castle Crags Wilderness and State Park. Cross Burstarse Creek; Indian Creek; Popcorn Spring; and Sacramento River near Dunsmuir. View Russian Peak; Deadman Peak; Eagle Peak; Sugar Hill; Craggy Peak; Cory Peak and Mount Eddy. Shasta-Trinity National Forest; California's largest national forest; features diverse alpine ecosystems., Images/Segment29.jpg
25,-121.1902964,40.3041705,-121.3046789,41.5344634, Washington - Trout Lake (Mount Adams), Big Ridge ,-123.233783,41.660206, You will walk in Klamath National forres and Marble Mountain Wilderness. You climpe Big Ridge with the elevation of 2141meters,107.2 km,Part 25,Journey through Klamath National Forest and Marble Mountain Wilderness; known for expansive rugged terrains; vast wilderness and dramatic landscapes., Images/Segment31.jpg
26,-121.3046789,41.5344634,-120.9103089,41.42840721, Washington - Goat Rocks Wilderness,,,, On this stretch you will pass through Seaid Wally and up over Kangaroo Mountain; Black Mountain and Observation Peak among others. A stretch with many meters of elevation gain,107.2 km,Part 26,Cross Seiad Valley and climb Kangaroo Mountain; Black Mountain and Observation Peak with significant elevation gain and breathtaking views. Navigate remote areas between mountains through diverse landscapes from dense forests to rocky outcrops. Seiad Valley offers resupply along Klamath River., Images/Segment32.jpg
27,-120.9103089,41.42840721,-121.0452843,40.01036975, Washington - Mount Rainier National Park,,,, During this par of the trail You'll cross the border between California and Oregon,107.2 km,Part 27,Follow Carson-Iceberg Wilderness path with Highland Peak; Whitecliff Peak; Sonora Peak and Leavitt Peak. Experience rugged terrain; dramatic elevations and Sierra's eastern slope beauty. Known for rocky landscapes; glacial remnants; geological formations; dense conifer forests and various waterways., Images/Segment20.jpg
28,-121.0452843,40.01036975,-118.1604601,36.32015036,Washington - White Pass , Mount McLoughlin;  Crater Lake ,-122.1352; -122.1037,42.3707; 42.9365, You will walk in The Sky Lakes Wilderness straddles southern Oregon's Cascade Range from Crater Lake National Park southward to Oregon Route 140. It is approximately 9.7 kmwide and 43 km long. Thelevations ranging from 1.200 m in the canyon of the Middle Fork of the Rogue River to 2.894 m at the top of Mount McLoughlin is the highest peak in southern Oregon  You will walk close by Crater Lake that is surrounded by several high points. This including Garfield Peak; Llao Rock and Grouse Hill,107.2 km,Part 28,Cross Sky Lakes Wilderness in Oregon's Cascade Range from Crater Lake National Park to Oregon Route 140. Spans 9.7km wide and 43km long with elevations from 1;200m to 2;894m at Mount McLoughlin summit. Visit Crater Lake National Park (est. 1902) with Garfield Peak; Llao Rock and Grouse Hill., Images/Segment34.jpg
29,-118.1604601,36.32015036,-119.5560277,38.22954566,Washington - Stevens Pass,Cowhorn Mountain,-122.5131,44.03736, On this part You walk in hilly terrain and pass Cowhorn Mountain which is  2336 meters high,107.2 km,Part 29,Experience serene hiking through expansive views; lush forests and Diamond Peak's rugged slopes. Pass 2;336m Cowhorn Mountain through hilly terrain. Trail skirts several lakes providing water sources and scenic camping spots., Images/Segment36.jpg
30,-119.5560277,38.22954566,-117.3918106,35.04545113,Washington - Glacier Peak Wilderness,,,, In this Segment You will walk through Willamette National Forrest and Deschutes National Forrest and pass several lakes,107.2 km,Part 30,Traverse Oregon's volcanic landscape passing the iconic Three Sisters volcanoes. Enjoy close-up views of North; Middle; and South Sister with The Husband peak on the opposite side. Cross Three Sisters Wilderness with diverse ecosystems including alpine forests; lava fields; and wildflower meadows., Images/Segment37.jpg
31,-117.3918106,35.04545113,-120.9097673,47.48759545,Washington - North Cascades National Park,The Tree Sisters,,, On this part of the trail You walk past tree vulcanos that is caled The Tree Sisters. When You have Middel Sister and South sister on one side You will have the moutan The husband on the other side of you,107.2 km,Part 31,Explore Mount Jefferson and Mount Washington Wilderness with rugged terrain and volcanic features. Mount Washington has a distinctive spire-like top. Area offers solitude with steep rocky ascents; serene forest walks; wildlife viewing; and panoramic Cascade Range vistas., Images/Segment38.jpg
32,-120.9097673,47.48759545,-122.2060291,41.29436795,Washington - Stehekin (Lake Chelan), Mount Hood,-121.5672,45.5381, On this part of the trial You will wlak in the National Park of Mount Hood  Mount Hood is also known as Wy'east. It is an active stratovolcano. The summit elavation is 3.429 meter and has glaciers all year,107.2 km,Part 32,Wind through Oregon's buttes and Clackamas Wilderness past Olallie Butte volcanic cone and Mount Jefferson area. View Cascade Range from rugged terrain with numerous water sources. Near Mount Hood (Wy'east); an active 3;429m stratovolcano with year-round glaciers; Oregon's highest peak visible from Portland., Images/Segment39.jpg
33,-122.2060291,41.29436795,-120.7729367,39.9237451, Northern Washington & Canada Border - Pasayten Wilderness,Brigde of the Gods,-121.9179,45.6543, On this part You'll cross the Columbia River and also the border between Oregon and Washinton. On both sides You walk in forrest. This could be a good place to stock up as you come right through the town of Casade Locks which is the biggest city You will go through,107.2 km,Part 33,Cross Columbia River and Oregon-Washington border through forested areas. Pass through Cascade Locks; the largest city on route; ideal for resupplying., Images/Segment41.jpg
34,-120.7729367,39.9237451,-120.9819731,44.47995183,Northern Washington & Canada Border - Holman Pass,,,, Now You are walkning in Gifford Pinoct National Forrest. It contains over 1.3 milion acers of green forests soaring mountains; dewy meadows; and rapid streams,107.2 km,Part 34,Hike through Indian Heaven Wilderness with old-growth forests; alpine lakes and vibrant wildflower meadows. Pass Sawtooth Mountain; Bird Mountain and Lemel Rock with unique vistas and wildlife observation. Area known for striking autumn foliage in brilliant orange; red and yellow., Images/Segment42.jpg
35,-120.9819731,44.47995183,-121.0040931,41.68499147, Northern Washington & Canada Border - Windy Pass, Mount Adams,-121.4879,46.2014, On this part You walk through the Mount Adams Wildersness; where the trail take you close to the mountan and the glacier,107.2 km,Part 35,Travel through Mount Adams Wilderness near the mountain and glacier. Cross Goat Rocks Wilderness near 2;494m Gilbert Peak; the highest summit in the eroded remnants of an extinct stratovolcano; featuring Meade Glacier on southeastern slopes and Conrad Glacier on north slope., Images/Segment43.jpg
36,-121.0040931,41.68499147,-121.6030659,42.04273335, Northern Washington & Canada Border - Castle Pass, Mount Rainer,-121.5672,45.5381, Mount Rainier is the most glaciated peak in the contiguous U.S.A.; spawning five major rivers. You will see subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainiers lower slopes You are walking in Norse Peak Wildernes,107.2 km,Part 36,Journey through William O. Douglas and Norse Peak Wilderness near Mount Rainier; America's most glaciated peak. Experience subalpine wildflower meadows and ancient forests. Pass Norse Peak; Crown Point and Pigtail Peak. Visit Kelly Butte Lookout (1;640m) for panoramic views. Cross Snoqualmie Pass (919m); a vital Cascade Range route., Images/Segment44.jpg
37,-121.6030659,42.04273335,-120.168978,39.96090822, Northern Washington & Canada Border - Manning Park (Canada),,,, You go thrugh Snoqualmie is best known as the home of Snoqualmie Falls- a breathtaking waterfall cascading 81.6 meter over granite cliffs. Snoqualmie Falls is the second most visited natural landmark in Washington after Mount Rainier. It is more than twice as high as Niagara Falls! ,107.2 km,Part 37,Traverse Alpine Lakes Wilderness with rugged terrain; deep valleys; craggy peaks and alpine lakes. Climb to scenic Chimney Rock. Cross Henry M. Jackson Wilderness (41;803 ha); created by 1984 Washington Wilderness Act and named after the senator instrumental in wilderness designation., Images/Segment46.jpg
38,-120.168978,39.96090822,-117.7005774,35.63222932, Northern Washington & Canada Border - Chilliwack, British Columbia,,,You are walking in Alpine Lake Wildernes,107.2 km,Part 38,View Mount David; a prominent 2;260m summit in Chelan County within Glacier Peak Wilderness on Okanogan-Wenatchee National Forest land., Images/Segment47.jpg
39,-117.7005774,35.63222932,-117.7006807,35.68607544, Northern Washington & Canada Border - Hope - British Columbia,,,, You are walking in the north and meeting several glaciers including Kennedy Peak and Glacier Peak,107.2 km,Part 39,Encounter northern glaciers including Kennedy Peak and 3;213m Glacier Peak (Washington's fourth highest) with White Chuck; Kennedy and Suiattle glaciers. Cross Glacier Peak Wilderness (229;075 ha); designated 1964; protecting Sauk; Suiattle and White Chuck River drainage basins with steep terrain; old-growth forests and alpine lakes., Images/Segment48.jpg
40,-117.7006807,35.68607544,-121.3794886,47.0791355, Northern Washington & Canada Border - Fraser Valley ,,,, In theese segments the trail cover some of the most challenging and rewarding terrain of the PCT; culminating in the alpine glory of the North Cascades  This is the most northly part of the trail, 107.2 km ,Part 40,Experience challenging terrain through high alpine peaks and remote wilderness near Bonanza Peak; Mount Fernow and Lake Chelan National Recreation Area. Significant elevation changes near Goode Mountain and Black Peak. View 2;393m Mount Winthrop before reaching Northern Terminus at US-Canada border; marked by wooden monument., Images/Segment49.jpg
