Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,Description_new,imagesPath
1,-118.478476,37.0577188,-121.0203383,42.55305601, Southern California - Campo,,,, This Paths of the trail is the most southern; here you go through dessert You are in the very southern part and in summer this can be very hot, 168 km,Part 1,Southern California desert trail section featuring extreme temperatures - hot days and cold nights. You'll walk by Sheephead Mountain; Wooden Hill; and through Sawtooth Mountains wilderness. The path continues through Anza-Borrego Desert State Park (created 1932); named after explorer Juan Bautista de Anza and the Spanish word for sheep. Spring brings amazing desert flowers and plants in bloom across this 237;120 ha park., Images/Segment1.jpg
2,-121.0203383,42.55305601,-118.8414404,37.32590421, Southern California - Anza-Borrego Desert,,-116.697429,33.770965,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment You will walk through Jacinto Wildernes ,168 km,Part 2,Rugged desert terrain with oases and challenging climbs. Passes Warner Springs and skirts Combs Peak; featuring San Diego County chaparral with manzanita; scrub oak; buckthorn; red shanks and chamise. Trail enters Jacinto Wilderness near Suicide Rock; which offers big mountain feel without major climbing. The Deer Springs Trail ascends through oak and pine trees to a massive granite slab with panoramic mountain views. Free permit required for Suicide Rock., Images/Segment3.jpg
3,-118.8414404,37.32590421,-117.7516927,34.12845803, Southern California - Cajon Pass,,-117.7646,34.3584, You need to cross Mission Creek several times On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting,168 km,Part 3,Trail offers views of Sand to Snow National Monument with iconic red mountains backed by snowy peaks. Ascends Onyx Peak in the San Bernardino Mountains with views of Big Bear Lake; known for fishing; winter sports and hiking. Path continues through San Bernardino National Forest covering 3;333.87 km_ across northern and southern portions. Notable as filming location for Daniel Boone (1936) and Paint Your Wagon (1969)., Images/Segment5.jpg
4,-117.7516927,34.12845803,-120.9071109,39.35874634, Southern California - Vasquez Rocks,,,,You walk on the egde of Big Bear City You go in Angeles National forests,168 km,Part 4,Crosses Interstate 15 at approximately 1;436 meters elevation; passing Table Mountain and Mount San Antonio. Nearby Vasquez Rock features striking jagged formations created by millions of years of erosion - a popular filming location. Route continues through Angeles National Forest; providing solitude and recreation opportunities for surrounding communities. Includes climbing Mount Baden-Powell; named after the founder of scouting who established first scout groups in 1907., Images/Segment7.jpg
5,-120.9071109,39.35874634,-120.9779288,39.8078156, Southern California - Tehachapi Mountains,,,,On this part of the route you walk in a mixture of hilly terrain and valleys of sand You are both  on the egde of moutains and have some of the trail in the city of Lancaster,168 km,Part 5,Mixed terrain of hills and sandy valleys passing through Agua Dulce; a charming rural community known for rolling hills and country lifestyle. The trail covers 59 square kilometers including natural attractions like Vasquez Rocks. Path continues to the city of Lancaster; passing Walker's Pass in the Sierra Nevada with panoramic views. Route includes Burnt Peak (1;781m) and Lake Hughes; offering tranquil waters for leisure activities., Images/Segment9.jpg
6,-120.9779288,39.8078156,-121.7016886,42.68975638, Sierra Nevada & Northern California - Kennedy Meadows, Double Mountain,-118.291222,35.01597, This part of the trail is hilly and you will need to cross several small creeks  You will both walk in hilly terran and forretes,168 km,Part 6,Hilly trail crossing several small creeks near Double Mountain with its two similar-height summits south of Tehachapi. Passes Mojave; a desert city established in 1876 as a Southern Pacific Railroad construction camp that later served as headquarters for Los Angeles Aqueduct construction. The route ascends Welden Peak with expansive summit views; then winds between Piute Peak and Sorrell Peak showcasing diverse vegetation and geological features before skirting Pinyon Mountain., Images/Segment11.jpg
7,-121.7016886,42.68975638,-121.2857281,42.2562489, Sierra Nevada & Northern California - Forester Pass ,,,, You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince  You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way,168 km,Part 7,Trail ascends Weldon Peak and continues between Piute Peak and Sorrell Peak; skirting Pinyon Mountain and leading to jagged Sawtooth Peak. Path traverses three wilderness areas: Owens Peak; Kiavah; and Domeland; each with unique landscapes from rugged mountains to rock formations and forested regions. Route through South Sierra Wilderness offers immersive experiences surrounded by dramatic peaks including Rockhouse Peak; Ball Mountain; Bald Mountain; and Olancha Peak., Images/Segment13.jpg
8,-121.2857281,42.2562489,-120.0047009,40.98451283, Sierra Nevada & Northern California - Tuolumne Meadows,,,, You are walking in an area with many mountains. Some of the ones you can see on the trip are: Mount Withney; Mount Langley; Kern Peak; Cirque Peak  You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada,168 km,Part 8,Path through breathtaking Sierra Nevada landscape featuring towering peaks. From north; encounter Mount Stanford and Mount Williamson before continuing to iconic Mount Whitney. Trail descends slightly toward Mount Langley and Cirque Peak before culminating near Muah Mountain. Route passes through Inyo National Forest; extending 265 kilometers near California-Nevada border across 809;371 hectares on eastern Sierra Nevada slopes. Trail continues between Mount Clarence King; Acrodectes Peak; Mount Goddard and flat-topped Mount Darwin (4;218m)., Images/Segment15.jpg
9,-120.0047009,40.98451283,-119.0765253,37.09358935, Sierra Nevada & Northern California - Lake Tahoe,,,, You are walking in an area with many mountains and you encounter many altitude differences at the same time there are many larger and smaller lakes  You walk in both Ansel Adams Wildernes and the great Yosemite National Park. It was first protected in 1864.Yosemite National Park is best known for its waterfalls but you can find deep valleys and grand meadows as well,168 km,Part 9,Navigate Sierra Nevada with dramatic altitude changes around peaks like Bloody Mountain; Red Slate Mountain; Mount Morgan; Bear Creek Spire; and Seven Gables. Encounter various lakes near Silver Peak and Mammoth Lakes. Trail traverses Ansel Adams Wilderness and Yosemite National Park; combining rugged terrain with iconic beauty. Experience peaks like Mount Ritter; Mount Lyell; Mount Dana; and Clouds Rest while enjoying stunning waterfalls; deep valleys; grand meadows and ancient sequoias., Images/Segment17.jpg
10,-119.0765253,37.09358935,-121.6728243,41.25952485, Sierra Nevada & Northern California - Feather River,,,, As the trail moves northward; it traverses the lush forests of Northern California; with a mix of steep inclines and dense woodland  During this par of the trail You'll cross the border between California and Oregon,168 km,Part 10,Northern Yosemite Wilderness trail with lush forests; challenging terrain; steep inclines and rugged paths through dense woodlands. Path offers deep backcountry experiences with physical demands rewarded by solitude and diverse wildlife encounters. Route navigates Sierra Nevada's Carson-Iceberg Wilderness with notable peaks including Highland Peak; Whitecliff Peak; Sonora Peak and Leavitt Peak. Trail features rocky landscapes; glacial remnants; dense conifer forests; and various waterways with high-altitude trekking opportunities in less-trafficked areas., Images/Segment19.jpg
