Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,Description_new,imagesPath
1,-118.478476,37.0577188,-120.5812901,42.04745979, Southern California - Campo,,,, This Paths of the trail is the most southern; here you go through dessert,140.8 km,Part 1,The southernmost trail section crosses desert terrain. Stay hydrated - days are hot; nights cold. You'll pass Sheephead Mountain; Wooden Hill; and traverse Sawtooth Mountains wilderness with its characteristic peaks., Images/Segment1.jpg
2,-120.5812901,42.04745979,-121.1910008,42.37309226, Southern California - Mount Laguna,,,,You are in the very southern part and in summer this can be very hot You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment,140.8 km,Part 2,"The southern section is hot in summer. You'll traverse Anza-Borrego Desert State Park (est. 1932; 237;120 ha) with amazing spring flowers. The park's name combines explorer Juan Bautista de Anza and ""borrego"" (sheep). You'll pass Warner Springs and skirt Combs Peak; where recent fires have made hiking easier through the chaparral vegetation of manzanita; scrub oak; buckthorn; red shanks and chamise.", Images/Segment2.jpg
3,-121.1910008,42.37309226,-120.908273,46.04730289, Southern California - Suicide Rock,,-116.697429,33.770965,You will walk through Jacinto Wildernes   You need to cross Mission Creek several times,140.8 km,Part 3,Traverse Jacinto Wilderness near Suicide Rock; which offers mountain views without major climbing. The Deer Springs Trail ascends through oaks to pines; reaching a massive granite slab with panoramic vistas. Free permits required. Views include Sand to Snow National Monument with iconic red mountains backed by snow-capped peaks. The trail also climbs Onyx Peak in the San Bernardino Mountains., Images/Segment4.jpg
4,-120.908273,46.04730289,-117.7516927,34.12845803, Southern California - Mount Baden Powell ,,-117.7646,34.3584,On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting,140.8 km,Part 4,See Big Bear Lake; the jewel of San Bernardino National Forest; known for fishing; snowboarding; skiing; hiking and mountain biking. The forest covers 3;333.87 km_ in two portions. This area served as filming location for Daniel Boone (1936) and parts of Paint Your Wagon (1969)., Images/Segment6.jpg
5,-117.7516927,34.12845803,-120.9071109,39.35874634, Southern California - Vasquez Rocks,,,,You walk on the egde of Big Bear City You go in Angeles National forests,140.8 km,Part 5,Cross Interstate 15 and climb 1436m over a long stretch. Pass Table Mountain and Mount San Antonio. Nearby Vasquez Rock features striking jagged formations created by erosion. The trail enters Angeles National Forest; providing solitude and recreation opportunities for surrounding communities. Climb Mount Baden-Powell; named for scouts founder whose first groups formed in 1907., Images/Segment7.jpg
6,-120.9071109,39.35874634,-120.9779288,39.8078156, Southern California - Tehachapi Mountains,,,,On this part of the route you walk in a mixture of hilly terrain and valleys of sand You are both  on the egde of moutains and have some of the trail in the city of Lancaster,140.8 km,Part 6,Walk through hilly terrain and sandy valleys. Pass through Agua Dulce (59 km_); a rural community with rolling hills near Vasquez Rocks. The trail crosses Lancaster and meets Walker's Pass; a Sierra Nevada mountain pass with panoramic views. Burnt Peak (1781m) offers expansive vistas; and Lake Hughes provides tranquil waters for recreation., Images/Segment9.jpg
7,-120.9779288,39.8078156,-120.3586733,45.08212134, Sierra Nevada & Northern California - Kennedy Meadows, Double Mountain,-118.291222,35.01597, This part of the trail is hilly and you will need to cross several small creeks,140.8 km,Part 7,Traverse hilly terrain with multiple creek crossings. Pass Double Mountain with its two similarly elevated summits south of Tehachapi. Near Mojave; a desert city established in 1876 as a Southern Pacific Railroad construction camp. From 1884-1889; it served as western terminus for the 266km twenty-mule team from Death Valley's Harmony Borax Works; later becoming headquarters for Los Angeles Aqueduct construction., Images/Segment11.jpg
8,-120.3586733,45.08212134,-118.1548683,35.14989535, Sierra Nevada & Northern California - Sequoia National Park,,,, You will both walk in hilly terran and forretes  You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince,140.8 km,Part 8,Hike through Owen Peak; Kiavah; and Domeland Wilderness areas. Ascend Weldon Peak for expansive views; then wind between Piute Peak and Sorrell Peak. Skirt Pinyon Mountain with its pine forests before reaching jagged Sawtooth Peak. These protected wilderness areas showcase diverse landscapes from rugged mountains to intricate rock formations and pristine forests; offering unique experiences in untouched nature., Images/Segment12.jpg
9,-118.1548683,35.14989535,-121.3174455,42.14187776,Sierra Nevada & Northern California - Kings Canyon National Park,,,, You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way  You are walking in an area with many mountains. Some of the ones you can see on the trip are: Mount Withney; Mount Langley; Kern Peak; Cirque Peak,140.8 km,Part 9,Experience the South Sierra Wilderness surrounded by dramatic peaks including Rockhouse; Ball Mountain; Bald Mountain; and Olancha Peak. The remote landscape offers profound nature connections. The trail carves through breathtaking Sierra Nevada terrain with towering sentinels like Mount Stanford; Mount Williamson; and iconic Mount Whitney; before descending toward Mount Langley and Cirque Peak; culminating near Muah Mountain., Images/Segment14.jpg
10,-121.3174455,42.14187776,-120.0047009,40.98451283, Sierra Nevada & Northern California - Sonora Pass,,,, You are in the middel of Inyo National Forrest. Inyo National Forest extends approximately 265 kilometers near the California and Nevada border. It covers about 809.371 hectares mostly on the eastern slope of the Sierra Nevada,140.8 km,Part 10,Traverse Inyo National Forest; which spans 265 kilometers along the California-Nevada border covering 809;371 hectares; mostly on the Sierra Nevada's eastern slope. Pass between Mount Clarence King; Acrodectes Peak; Mount Goddard; and Mount Darwin - a flat-topped 4;218-meter peak in the Sierra Nevada between Fresno and Inyo counties in Kings Canyon National Park., Images/Segment16.jpg
