Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude,Location,Landmarks,Landmark long,Landmark lat,Description,Distance (km),Part,Description_new,imagesPath
1,-118.478476,37.0577188,-120.5812901,42.04745979, Southern California - Campo,,,, This Paths of the trail is the most southern; here you go through dessert,94.4 km,Part 1,This southernmost trail section crosses desert terrain. Stay hydrated as temperatures fluctuate dramatically between day and night. The path winds alongside Sheephead Mountain and Wooden Hill; partially through Sawtooth Mountains wilderness; featuring characteristic mountain formations., Images/Segment1.jpg
2,-120.5812901,42.04745979,-121.0203383,42.55305601, Southern California - Mount Laguna,,,,You are in the very southern part and in summer this can be very hot,94.4 km,Part 2,"Located in the southern region; this segment can be extremely hot in summer. You'll traverse Anza-Borrego Desert State Park; notable for spring wildflower blooms. Established in 1932; the park is named after explorer Juan Bautista de Anza and ""borrego;"" Spanish for sheep. The park spans 237;120 hectares.", Images/Segment2.jpg
3,-121.0203383,42.55305601,-121.1910008,42.37309226, Southern California - Anza-Borrego Desert,,,,You will pass through rugged desert terrain featuring occasional oases and challenging climbs in this segment,94.4 km,Part 3,This segment features rugged desert terrain with occasional oases and challenging climbs. Passing Warner Springs; a set of natural springs and small community in northern San Diego County; you'll hike near Combs Peak. Recent fires on eastern flanks have made the approach from PCT easier through typical chaparral country with manzanita; scrub oak; and buckthorn., Images/Segment3.jpg
4,-121.1910008,42.37309226,-118.8414404,37.32590421, Southern California - Suicide Rock,,-116.697429,33.770965,You will walk through Jacinto Wildernes ,94.4 km,Part 4,You'll traverse Jacinto Wilderness; passing near Suicide Rock; which offers excellent views without climbing major peaks. The Deer Springs Trail ascends through oak and pine forests to a massive granite slab with panoramic mountain vistas. A free permit is required for hiking to Suicide Rock., Images/Segment4.jpg
5,-118.8414404,37.32590421,-120.908273,46.04730289, Southern California - Cajon Pass,,,, You need to cross Mission Creek several times,94.4 km,Part 5,You'll have views of Sand to Snow National Monument featuring iconic red mountains backed by snow-covered peaks. The trail also leads up Onyx Peak; a mountain pass located in the southwestern San Bernardino Mountains., Images/Segment5.jpg
6,-120.908273,46.04730289,-117.7516927,34.12845803, Southern California - Mount Baden Powell ,,-117.7646,34.3584,On this part of the Trail yo can see Mt Baden Powell who is the founder of scouts. The first groups of scouts were formed in 1907 on the basis og his book Aids for Scouting,94.4 km,Part 6,This segment offers views of Big Bear Lake; the jewel of San Bernardino National Forest; known for fishing; winter sports; hiking; and mountain biking. You'll walk through San Bernardino National Forest; covering 3;333.87 km_ divided into northern and southern portions. The area served as filming locations for Daniel Boone (1936) and Paint Your Wagon (1969)., Images/Segment6.jpg
7,-117.7516927,34.12845803,-121.5504511,44.57576911, Southern California - Vasquez Rocks,,,,You walk on the egde of Big Bear City,94.4 km,Part 7,You'll cross Interstate 15 and climb 1;436 meters in a long stretch; passing Table Mountain and Mount San Antonio. Nearby Vasquez Rock features striking jagged formations created by millions of years of rapid erosion; serving as a popular filming location for movies and TV shows., Images/Segment7.jpg
8,-121.5504511,44.57576911,-120.9071109,39.35874634, Southern California - Sierra Pelona Mountains,,,,You go in Angeles National forests,94.4 km,Part 8,You'll hike through Angeles National Forest; an urban wilderness providing solitude and unique recreation opportunities for surrounding communities. The trail includes climbing Mt. Baden Powell; named after the founder of scouts who formed the first groups in 1907. Baden-Powell is a classic San Gabriel peak-bagging must-do., Images/Segment8.jpg
9,-120.9071109,39.35874634,-120.9779288,39.8078156, Southern California - Tehachapi Mountains,,,,On this part of the route you walk in a mixture of hilly terrain and valleys of sand You are both  on the egde of moutains and have some of the trail in the city of Lancaster,94.4 km,Part 9,This segment traverses hilly terrain and sandy valleys; passing through Agua Dulce; a charming rural community covering 59 square kilometers; known for rolling hills and country lifestyle. Near Lancaster; you'll encounter Walker's Pass and Burnt Peak (1;781m); which offers expansive views; while Lake Hughes provides tranquil waters for leisure activities., Images/Segment9.jpg
10,-120.9779288,39.8078156,-120.3586733,45.08212134, Sierra Nevada & Northern California - Kennedy Meadows, Double Mountain,-118.291222,35.01597, This part of the trail is hilly and you will need to cross several small creeks,94.4 km,Part 10,This hilly section requires crossing several small creeks. You'll see Double Mountain with its two similarly elevated summits south of Tehachapi. The route passes near Mojave; a desert city established in 1876 as a Southern Pacific Railroad construction camp that later served as the western terminus for twenty-mule teams from Death Valley., Images/Segment11.jpg
11,-120.3586733,45.08212134,-121.7016886,42.68975638, Sierra Nevada & Northern California - Sequoia National Park,,,, You will both walk in hilly terran and forretes,94.4 km,Part 11,This section begins with an ascent of Welden Peak offering expansive views. The trail winds between Piute Peak and Sorrell Peak showcasing diverse vegetation and geological features; then skirts Pinyon Mountain where alpine landscapes blend with dense pinyon pine forests., Images/Segment12.jpg
12,-121.7016886,42.68975638,-118.1548683,35.14989535, Sierra Nevada & Northern California - Forester Pass ,,,, You walk in both Owen Peak Wilderness; Kiavah Wildernes and Domeland Wildernes. A part with a lot of protected nature; so in this path the chance for uniqe experince,94.4 km,Part 12,The trail traverses three wilderness areas: Owens Peak; Kiavah; and Domeland. Starting at Weldon Peak; it continues between Piute Peak and Sorrell Peak; then skirts Pinyon Mountain to the distinctive Sawtooth Peak. Each wilderness offers unique landscapes from rugged terrain to intricate rock formations and forested areas rich in biodiversity., Images/Segment13.jpg
13,-118.1548683,35.14989535,-121.2857281,42.2562489,Sierra Nevada & Northern California - Kings Canyon National Park,,,, You will be climbing many meters both up and down. You will be walking through the South Sierra Wilderness and there will be several mountain peaks and peaks around you along the way,94.4 km,Part 13,This immersive section through South Sierra Wilderness is surrounded by dramatic peaks including Rockhouse; Ball Mountain; Bald Mountain; and Olancha Peak. The trail winds through diverse terrains with each peak providing a unique backdrop. The remote beauty offers profound connections with nature amid towering mountains and serene wilderness., Images/Segment14.jpg
